bensley@LT-10383(get_sfp_stats)$./get_sfp_stats.py -u testuser -i Area1_Switches.yml
Default password:
Checking AHP01...
Checking AHP02...
Checking ALD01...
Checking ALW01...
Checking BAS01...
Checking BAS02...
Checking BEE01...
Checking BIN01...
Checking BRD01...
Checking BRI01...
Checking CHA01...
Checking CHI01...
Checking COD01...
Checking CUR01...
Checking EDD01...
Checking ENG01...
Checking GRZ01...
Checking HER01...
Checking HER02...
Checking HGR01...
Checking HHI01...
Checking HMN01...
Checking HMP01...
Checking INK01...
Checking LOL01...
Checking PEA01...
Checking PGB01...
Connection timeout to PGB01
Checking SFD01...
Checking SHE01...
Checking SLY01...
Checking STM01...
Checking TID01...
Connection timeout to TID01
Checking UBK01...
Checking UFT01...
Checking WIC01...
Checking WOL01...
Checking WRG01...
Checking WSM01...
Checking WTB01...
Checking YAT01...
+--------+----------------+------------------------------------+-------------+-----------------+----------+----------+
| Device |      Port      |            Description             |   SPF Type  |     Part No.    | Tx Power | Rx Power |
| SLY01  | unit-13/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| STM01  | unit-11/port-1 |   link to UFT01, unit 13 port 2    | 10G BASE-LR |  APSP31B33CDL20 |    -2    |    -5    |
| STM01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| STM01  | unit-13/port-1 |    Link to GRZ01 unit 11 port 1    | 10G BASE-LR |  APSP31B33CDL20 |    -2    |    -4    |
| STM01  | unit-13/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| UBK01  | unit-11/port-1 |   Link to COD01 unit 13 / port 1   | 10G BASE-LR |  PT7420-81-1D+  |    -3    |    -5    |
| UBK01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| UBK01  | unit-13/port-1 |                                    | 10G BASE-LR |  PT7420-81-1D+  |    -2    |    -4    |
| UBK01  | unit-13/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| UFT01  | unit-11/port-1 |    Link to ALD01 - Unit 13/ p1     | 10G BASE-LR |  PT7420-81-1D+  |    -2    |    -7    |
| UFT01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| UFT01  | unit-13/port-1 |      Link to ENG01 Unit11/p1       | 10G BASE-LR |  APSP31B33CDL20 |    -1    |    -6    |
| UFT01  | unit-13/port-2 |   link from STM01 unit 11 port 1   | 10G BASE-LR |  APSP31B33CDL20 |    -2    |    -6    |
